PlanetID,StarName,M_sol,L_sol,SMA_AU,Mp_MEarth,Rp_REarth,ecc,NDet,P_yr,HZ
HD 50692_0,HD 50692,1.08,1.293,3.95,8.758,2.831,0.04,1,7.554,False
HD 53705_1,HD 53705,1.04,1.49,2.604,29.747,3.306,0.083,8,4.12,False
HD 53705_2,HD 53705,1.04,1.49,1.597,5.883,2.478,0.089,4,1.979,True
HD 55575_0,HD 55575,1.14,1.463,1.084,0.609,0.727,0.09,2,1.057,True
HD 58855_0,HD 58855,1.16,2.445,3.917,19.491,2.746,0.055,8,7.198,False
HD 58855_8,HD 58855,1.16,2.445,3.679,2.944,1.665,0.02,2,6.552,False
HD 65907 A_2,HD 65907 A,1.11,1.29,1.009,3.968,1.202,0.058,6,0.962,True
HD 693_3,HD 693,1.18,2.997,1.448,3.293,1.975,0.069,4,1.604,True
HD 72905_3,HD 72905,1.08,0.973,0.899,7.831,2.776,0.099,1,0.82,True
HD 72905_4,HD 72905,1.08,0.973,0.923,1.443,1.407,0.214,2,0.853,False
HD 7570_2,HD 7570,1.14,2.004,1.977,5.46,1.73,0.063,4,2.603,True
HD 86728 A_4,HD 86728 A,1.0,1.378,3.143,25.307,2.985,0.15,4,5.572,False
HD 86728 A_6,HD 86728 A,1.0,1.378,2.84,4.922,2.462,0.137,5,4.786,False
HD 88230_0,HD 88230,0.63,0.103,1.858,2.053,1.413,0.024,4,3.191,False
HD 88230_1,HD 88230,0.63,0.103,0.369,5.786,2.613,0.102,4,0.282,True
HD 88230_2,HD 88230,0.63,0.103,0.941,0.071,0.511,0.058,2,1.15,False
HD 88230_3,HD 88230,0.63,0.103,1.397,1.79,1.541,0.055,6,2.08,False
HD 88230_4,HD 88230,0.63,0.103,0.683,1.323,0.831,0.12,2,0.711,False
HD 88230_5,HD 88230,0.63,0.103,2.552,5.37,1.594,0.09,2,5.136,False
HD 95128_4,HD 95128,1.07,1.577,2.15,1.843,1.218,0.173,1,3.048,False
HD 95735_0,HD 95735,0.44,0.02,0.673,0.885,0.901,0.041,5,0.832,False
HD 95735_2,HD 95735,0.44,0.02,0.392,0.142,0.638,0.078,6,0.37,False
HD 95735_3,HD 95735,0.44,0.02,0.164,0.374,0.847,0.146,7,0.1,True
HD 95735_4,HD 95735,0.44,0.02,2.481,1.218,1.454,0.023,2,5.891,False
HD 95735_6,HD 95735,0.44,0.02,0.163,1.443,1.008,0.047,2,0.099,True
