PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.092,165.492,0.756,0.306,1,5,7,2035.875
HD 101501_7,HD 101501,0.888,0.054,0.887,0.333,9.576,0.94,0.609,0.017,345.697,0.927,0.001,0,2,5,2035.883
HD 46588 A_0,HD 46588 A,1.961,0.092,1.375,5.123,18.202,1.18,1.826,0.116,299.73,2.127,0.257,1,3,3,2035.897
HD 34411_1,HD 34411,1.539,0.078,0.897,0.713,12.562,1.08,1.732,0.108,73.711,1.563,0.108,0,2,3,2035.9
HD 20807_1,HD 20807,1.546,0.069,0.954,0.846,12.039,1.07,1.017,0.075,295.028,1.446,0.031,0,2,4,2035.911
HD 219134_2,HD 219134,0.475,0.085,1.279,2.244,6.542,0.75,0.266,0.071,309.041,0.467,0.309,1,5,8,2035.93
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.661,249.925,1.076,0.66,1,6,6,2035.963
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.082,293.882,0.821,0.306,1,5,6,2035.996
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.051,224.685,0.742,0.022,0,5,8,2036.021
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.058,128.43,0.808,0.728,0,0,7,2036.04
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,0.043,214.12,0.551,0.079,0,0,7,2036.04
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.05,220.583,0.784,0.756,0,2,6,2036.045
HD 65907 A_1,HD 65907 A,1.316,0.075,0.982,3.131,16.172,1.11,1.29,0.077,82.892,1.306,0.177,1,2,4,2036.067
HD 65907 A_2,HD 65907 A,1.009,0.058,1.202,5.136,16.172,1.11,1.29,0.055,43.984,0.951,0.517,0,2,4,2036.067
HD 101501_7,HD 101501,0.888,0.054,0.887,0.333,9.576,0.94,0.609,0.096,13.682,0.918,0.34,1,3,6,2036.103
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.775,318.033,1.121,0.538,1,7,7,2036.155
HD 17206_0,HD 17206,1.742,0.09,0.885,1.25,14.276,1.21,2.617,0.122,137.208,1.765,0.407,1,2,3,2036.158
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.076,13.068,0.929,0.088,1,6,7,2036.196
HD 128620_0,HD 128620,1.567,0.074,0.945,0.738,1.332,1.11,1.521,1.065,170.829,1.628,0.603,0,1,4,2036.207
HD 128620_1,HD 128620,1.266,0.016,1.198,6.221,1.332,1.11,1.521,0.939,226.378,1.257,0.368,1,3,4,2036.207
HD 187691 A_1,HD 187691 A,2.61,0.091,1.018,1.386,19.488,1.25,2.835,0.055,166.184,2.403,0.905,0,1,3,2036.21
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.038,287.445,0.743,0.867,0,0,8,2036.213
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,0.031,304.268,0.604,0.866,0,0,8,2036.213
HD 20807_1,HD 20807,1.546,0.069,0.954,0.846,12.039,1.07,1.017,0.127,341.266,1.53,0.31,1,3,5,2036.213
HD 39091_5,HD 39091,1.437,0.051,1.31,1.974,18.287,1.08,1.533,0.076,2.285,1.449,0.196,1,4,4,2036.232
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.077,324.418,0.884,0.451,1,3,7,2036.254
HD 693_4,HD 693,1.744,0.105,1.392,2.348,18.886,1.18,2.997,0.09,62.909,1.921,0.12,0,1,3,2036.298
HD 101501_7,HD 101501,0.888,0.054,0.887,0.333,9.576,0.94,0.609,0.011,149.878,0.85,0.993,0,3,7,2036.323
HD 46588 A_0,HD 46588 A,1.961,0.092,1.375,5.123,18.202,1.18,1.826,0.115,352.133,2.107,0.365,1,4,4,2036.345
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.876,4.019,1.177,0.258,1,8,8,2036.348
HD 34411_1,HD 34411,1.539,0.078,0.897,0.713,12.562,1.08,1.732,0.087,182.691,1.659,0.037,0,2,4,2036.351
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.086,92.368,0.882,0.214,1,7,8,2036.397
HD 142373_1,HD 142373,1.76,0.092,0.868,0.535,15.898,1.08,3.136,0.098,170.826,1.918,0.668,1,1,3,2036.406
HD 65907 A_1,HD 65907 A,1.316,0.075,0.982,3.131,16.172,1.11,1.29,0.031,202.877,1.413,0.005,0,2,5,2036.425
HD 65907 A_2,HD 65907 A,1.009,0.058,1.202,5.136,16.172,1.11,1.29,0.062,180.353,1.05,0.187,1,3,5,2036.425
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.058,28.36,0.853,0.062,0,3,8,2036.463
HD 23249_0,HD 23249,2.38,0.039,0.804,0.586,9.089,0.87,2.941,0.193,32.14,2.372,0.057,0,1,3,2036.491
HD 20807_1,HD 20807,1.546,0.069,0.954,0.846,12.039,1.07,1.017,0.096,17.3,1.626,0.755,1,4,6,2036.515
HD 101501_7,HD 101501,0.888,0.054,0.887,0.333,9.576,0.94,0.609,0.087,194.847,0.864,0.195,1,4,8,2036.543
HD 128620_0,HD 128620,1.567,0.074,0.945,0.738,1.332,1.11,1.521,0.717,175.326,1.482,0.035,0,1,5,2036.611
HD 128620_1,HD 128620,1.266,0.016,1.198,6.221,1.332,1.11,1.521,0.697,345.107,1.286,0.744,1,4,5,2036.611
HD 39091_5,HD 39091,1.437,0.051,1.31,1.974,18.287,1.08,1.533,0.081,82.024,1.51,0.414,1,5,5,2036.644
HD 17206_0,HD 17206,1.742,0.09,0.885,1.25,14.276,1.21,2.617,0.127,221.56,1.895,0.187,0,2,4,2036.738
