PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 101501_7,HD 101501,0.888,0.054,0.887,0.333,9.576,0.94,0.609,0.086,194.946,0.864,0.187,1,4,8,2036.545
HD 128620_0,HD 128620,1.567,0.074,0.945,0.738,1.332,1.11,1.521,0.718,175.321,1.482,0.035,0,1,5,2036.611
HD 128620_1,HD 128620,1.266,0.016,1.198,6.221,1.332,1.11,1.521,0.697,345.031,1.286,0.744,1,4,5,2036.611
HD 39091_5,HD 39091,1.437,0.051,1.31,1.974,18.287,1.08,1.533,0.081,81.98,1.51,0.414,1,5,5,2036.644
HD 17206_0,HD 17206,1.742,0.09,0.885,1.25,14.276,1.21,2.617,0.127,221.535,1.895,0.187,1,4,4,2036.737
HD 65907 A_1,HD 65907 A,1.316,0.075,0.982,3.131,16.172,1.11,1.29,0.083,257.631,1.342,0.332,1,3,6,2036.781
HD 65907 A_2,HD 65907 A,1.009,0.058,1.202,5.136,16.172,1.11,1.29,0.063,304.622,1.017,0.307,1,4,6,2036.781
HD 46588 A_0,HD 46588 A,1.961,0.092,1.375,5.123,18.202,1.18,1.826,0.103,52.202,1.936,0.447,1,5,5,2036.795
HD 34411_1,HD 34411,1.539,0.078,0.897,0.713,12.562,1.08,1.732,0.119,240.185,1.54,0.441,1,3,5,2036.801
HD 187691 A_1,HD 187691 A,2.61,0.091,1.018,1.386,19.488,1.25,2.835,0.102,278.665,2.61,0.713,1,2,4,2036.817
HD 20807_1,HD 20807,1.546,0.069,0.954,0.846,12.039,1.07,1.017,0.077,102.774,1.65,0.849,1,5,7,2036.82
HD 693_4,HD 693,1.744,0.105,1.392,2.348,18.886,1.18,2.997,0.063,213.325,1.646,0.052,0,2,4,2036.949
HD 128620_0,HD 128620,1.567,0.074,0.945,0.738,1.332,1.11,1.521,0.844,350.08,1.479,0.063,0,1,6,2037.015
HD 128620_1,HD 128620,1.266,0.016,1.198,6.221,1.332,1.11,1.521,0.836,69.402,1.263,0.118,1,5,6,2037.015
HD 39091_5,HD 39091,1.437,0.051,1.31,1.974,18.287,1.08,1.533,0.075,169.187,1.433,0.488,1,6,6,2037.056
HD 142373_1,HD 142373,1.76,0.092,0.868,0.535,15.898,1.08,3.136,0.105,275.093,1.676,0.266,1,4,4,2037.105
HD 20807_1,HD 20807,1.546,0.069,0.954,0.846,12.039,1.07,1.017,0.126,151.556,1.582,0.478,1,6,8,2037.125
HD 65907 A_1,HD 65907 A,1.316,0.075,0.982,3.131,16.172,1.11,1.29,0.024,12.495,1.219,0.952,0,3,7,2037.139
HD 65907 A_2,HD 65907 A,1.009,0.058,1.202,5.136,16.172,1.11,1.29,0.058,90.96,0.965,0.439,0,4,7,2037.139
HD 23249_0,HD 23249,2.38,0.039,0.804,0.586,9.089,0.87,2.941,0.211,126.422,2.291,0.094,0,1,4,2037.235
HD 46588 A_0,HD 46588 A,1.961,0.092,1.375,5.123,18.202,1.18,1.826,0.098,124.736,1.786,0.375,1,6,6,2037.243
HD 34411_1,HD 34411,1.539,0.078,0.897,0.713,12.562,1.08,1.732,0.072,359.644,1.419,0.802,1,4,6,2037.251
HD 17206_0,HD 17206,1.742,0.09,0.885,1.25,14.276,1.21,2.617,0.117,316.708,1.693,0.237,1,5,5,2037.317
HD 128620_0,HD 128620,1.567,0.074,0.945,0.738,1.332,1.11,1.521,0.946,354.364,1.624,0.699,1,2,7,2037.418
HD 128620_1,HD 128620,1.266,0.016,1.198,6.221,1.332,1.11,1.521,0.863,199.971,1.248,0.148,1,6,7,2037.418
HD 187691 A_1,HD 187691 A,2.61,0.091,1.018,1.386,19.488,1.25,2.835,0.142,300.568,2.806,0.248,0,2,5,2037.421
HD 39091_5,HD 39091,1.437,0.051,1.31,1.974,18.287,1.08,1.533,0.073,261.999,1.364,0.233,1,7,7,2037.468
HD 65907 A_1,HD 65907 A,1.316,0.075,0.982,3.131,16.172,1.11,1.29,0.077,82.481,1.304,0.185,1,4,8,2037.495
HD 65907 A_2,HD 65907 A,1.009,0.058,1.202,5.136,16.172,1.11,1.29,0.062,219.024,1.067,0.16,0,4,8,2037.495
HD 693_4,HD 693,1.744,0.105,1.392,2.348,18.886,1.18,2.997,0.03,304.594,1.66,0.946,0,2,5,2037.597
HD 46588 A_0,HD 46588 A,1.961,0.092,1.375,5.123,18.202,1.18,1.826,0.1,198.341,1.858,0.233,1,7,7,2037.69
HD 34411_1,HD 34411,1.539,0.078,0.897,0.713,12.562,1.08,1.732,0.112,68.993,1.549,0.137,1,5,7,2037.701
HD 142373_1,HD 142373,1.76,0.092,0.868,0.535,15.898,1.08,3.136,0.099,54.048,1.686,0.158,1,5,5,2037.808
HD 128620_0,HD 128620,1.567,0.074,0.945,0.738,1.332,1.11,1.521,0.393,164.422,1.68,0.954,1,3,8,2037.822
HD 128620_1,HD 128620,1.266,0.016,1.198,6.221,1.332,1.11,1.521,0.652,291.981,1.28,0.776,1,7,8,2037.822
HD 39091_5,HD 39091,1.437,0.051,1.31,1.974,18.287,1.08,1.533,0.076,359.919,1.447,0.193,1,8,8,2037.879
HD 17206_0,HD 17206,1.742,0.09,0.885,1.25,14.276,1.21,2.617,0.106,70.638,1.615,0.507,1,6,6,2037.896
HD 23249_0,HD 23249,2.38,0.039,0.804,0.586,9.089,0.87,2.941,0.241,178.889,2.327,0.507,1,2,5,2037.978
HD 187691 A_1,HD 187691 A,2.61,0.091,1.018,1.386,19.488,1.25,2.835,0.089,326.381,2.835,0.029,0,2,6,2038.025
HD 46588 A_0,HD 46588 A,1.961,0.092,1.375,5.123,18.202,1.18,1.826,0.11,263.888,2.049,0.214,1,8,8,2038.137
HD 34411_1,HD 34411,1.539,0.078,0.897,0.713,12.562,1.08,1.732,0.081,174.374,1.659,0.03,0,5,8,2038.151
HD 693_4,HD 693,1.744,0.105,1.392,2.348,18.886,1.18,2.997,0.101,54.295,1.923,0.274,1,3,6,2038.244
HD 17206_0,HD 17206,1.742,0.09,0.885,1.25,14.276,1.21,2.617,0.13,171.075,1.855,0.3,1,7,7,2038.475
HD 142373_1,HD 142373,1.76,0.092,0.868,0.535,15.898,1.08,3.136,0.102,148.066,1.92,0.635,1,6,6,2038.51
HD 187691 A_1,HD 187691 A,2.61,0.091,1.018,1.386,19.488,1.25,2.835,0.064,71.563,2.679,0.012,0,2,7,2038.631
HD 23249_0,HD 23249,2.38,0.039,0.804,0.586,9.089,0.87,2.941,0.176,258.251,2.431,0.791,1,3,6,2038.724
HD 693_4,HD 693,1.744,0.105,1.392,2.348,18.886,1.18,2.997,0.034,174.557,1.739,0.006,0,3,7,2038.894
HD 17206_0,HD 17206,1.742,0.09,0.885,1.25,14.276,1.21,2.617,0.122,256.474,1.847,0.166,1,8,8,2039.053
HD 142373_1,HD 142373,1.76,0.092,0.868,0.535,15.898,1.08,3.136,0.108,255.722,1.738,0.388,1,7,7,2039.212
HD 187691 A_1,HD 187691 A,2.61,0.091,1.018,1.386,19.488,1.25,2.835,0.124,113.352,2.451,0.232,1,3,8,2039.237
HD 23249_0,HD 23249,2.38,0.039,0.804,0.586,9.089,0.87,2.941,0.261,326.436,2.472,0.468,1,4,7,2039.47
HD 693_4,HD 693,1.744,0.105,1.392,2.348,18.886,1.18,2.997,0.058,253.673,1.587,0.77,0,3,8,2039.544
HD 142373_1,HD 142373,1.76,0.092,0.868,0.535,15.898,1.08,3.136,0.087,28.043,1.634,0.1,0,7,8,2039.914
