PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 10700_1,HD 10700,1.075,0.026,0.812,1.015,3.652,0.94,0.506,0.248526,352.161454,1.054441,0.615025,1,1,2,2035.25
HD 10700_6,HD 10700,1.108,0.065,1.12,0.759,3.652,0.94,0.506,0.267221,226.875822,1.090988,0.127151,1,1,2,2035.25
HD 37394_3,HD 37394,0.685,0.133,0.854,0.223,12.27,0.88,0.478,0.055498,93.642791,0.687414,0.389642,0,0,2,2035.25
HD 131977_5,HD 131977,0.527,0.147,1.054,2.008,5.886,0.72,0.223,0.081192,152.606964,0.587204,0.664279,1,2,2,2035.25
HD 693_9,HD 693,2.179,0.102,1.017,0.608,18.886,1.18,2.997,0.109874,197.133217,2.305247,0.566795,1,2,2,2035.262329
HD 131156 A_3,HD 131156 A,0.725,0.048,0.988,0.855,6.754,0.96,0.553,0.093503,276.460583,0.72509,0.603254,1,2,2,2035.336301
HD 43386_1,HD 43386,1.699,0.14,0.955,0.772,19.588,1.33,2.957,0.098309,132.364146,1.928227,0.293054,1,1,3,2035.5
HD 187691 A_1,HD 187691 A,2.86,0.036,0.819,0.388,19.488,1.25,2.835,0.117251,301.635685,2.766106,0.088561,0,0,3,2035.5
HD 69897_4,HD 69897,2.028,0.05,1.137,2.088,18.223,1.25,2.425,0.022213,26.309237,1.951673,0.000963,0,0,3,2035.5
HD 33262 A_0,HD 33262 A,1.875,0.047,0.828,0.128,11.693,1.14,1.466,0.020298,267.842139,1.863711,0.000221,0,0,3,2035.5
HD 37394_3,HD 37394,0.685,0.133,0.854,0.223,12.27,0.88,0.478,0.048863,234.888765,0.74704,0.675128,0,0,3,2035.5
HD 131977_5,HD 131977,0.527,0.147,1.054,2.008,5.886,0.72,0.223,0.063062,333.350975,0.459115,0.080961,1,3,3,2035.5
HD 102365_5,HD 102365,1.166,0.049,0.906,0.425,9.319,1.02,0.844,0.129186,60.196382,1.20961,0.368398,1,2,2,2035.530822
HD 131156 A_3,HD 131156 A,0.725,0.048,0.988,0.855,6.754,0.96,0.553,0.082,109.561975,0.731016,0.062553,1,3,3,2035.658904
HD 10700_1,HD 10700,1.075,0.026,0.812,1.015,3.652,0.94,0.506,0.295871,156.666027,1.080597,0.31232,1,2,3,2035.70274
HD 10700_6,HD 10700,1.108,0.065,1.12,0.759,3.652,0.94,0.506,0.199469,18.799145,1.078908,0.77853,1,2,3,2035.70274
HD 187691 A_1,HD 187691 A,2.86,0.036,0.819,0.388,19.488,1.25,2.835,0.130936,323.066195,2.757152,0.15203,0,0,4,2035.75
HD 69897_4,HD 69897,2.028,0.05,1.137,2.088,18.223,1.25,2.425,0.080233,45.021241,1.92694,0.062919,0,0,4,2035.75
HD 33262 A_0,HD 33262 A,1.875,0.047,0.828,0.128,11.693,1.14,1.466,0.09363,7.644234,1.812051,0.027769,0,0,4,2035.75
HD 37394_3,HD 37394,0.685,0.133,0.854,0.223,12.27,0.88,0.478,0.03463,40.547902,0.602159,0.047939,0,0,4,2035.75
HD 30495_1,HD 30495,1.516,0.121,1.188,1.92,13.24,1.04,0.966,0.100438,139.179848,1.333807,0.357977,1,2,2,2035.756849
HD 72905_0,HD 72905,1.129,0.099,0.912,0.308,14.439,1.08,0.973,0.070722,19.00768,1.179994,0.108634,0,1,3,2035.861644
HD 95128_1,HD 95128,1.071,0.046,0.81,0.796,13.887,1.07,1.577,0.073419,183.252166,1.036506,0.413497,1,2,3,2035.915068
HD 86728 A_3,HD 86728 A,1.803,0.069,0.936,0.842,14.926,1.0,1.378,0.100341,211.079703,1.694598,0.119899,0,1,2,2035.966438
HD 160691_1,HD 160691,1.549,0.079,0.867,0.464,15.604,1.0,1.899,0.089105,16.788592,1.456729,0.183412,1,2,2,2035.976027
HD 131156 A_3,HD 131156 A,0.725,0.048,0.988,0.855,6.754,0.96,0.553,0.078718,291.331954,0.714774,0.726697,1,4,4,2035.995205
HD 142373_6,HD 142373,1.406,0.045,1.017,0.647,15.898,1.08,3.136,0.083527,99.054691,1.439756,0.149169,1,2,2,2035.997945
HD 134083_5,HD 134083,1.875,0.031,1.198,1.784,19.536,1.33,3.255,0.093949,220.772445,1.908131,0.467031,1,2,2,2035.999315
HD 23249_2,HD 23249,1.416,0.072,0.972,0.904,9.089,0.87,2.941,0.103094,142.583393,1.315809,0.049573,0,1,2,2035.999315
HD 187691 A_1,HD 187691 A,2.86,0.036,0.819,0.388,19.488,1.25,2.835,0.140422,340.828338,2.762584,0.252808,0,0,5,2036.0
HD 69897_4,HD 69897,2.028,0.05,1.137,2.088,18.223,1.25,2.425,0.106466,48.856681,1.941898,0.297309,1,1,5,2036.0
HD 33262 A_0,HD 33262 A,1.875,0.047,0.828,0.128,11.693,1.14,1.466,0.149189,15.306559,1.787258,0.217115,0,0,5,2036.0
HD 37394_3,HD 37394,0.685,0.133,0.854,0.223,12.27,0.88,0.478,0.037817,166.135756,0.775064,0.827906,0,0,5,2036.0
