PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 165341 B_4,HD 165341 B,0.76,0.117,1.137,2.374,5.122,0.78,0.164,0.125,111.194,0.84,0.064,0,0,1,2035.0
HD 20766_0,HD 20766,1.336,0.161,1.674,3.092,12.045,1.01,0.794,0.099,85.298,1.423,0.095,0,0,1,2035.0
HD 20766_1,HD 20766,0.327,0.097,2.659,6.922,12.045,1.01,0.794,0.024,133.202,0.351,0.654,0,0,1,2035.0
HD 20766_4,HD 20766,1.915,0.031,0.912,0.441,12.045,1.01,0.794,0.061,299.483,1.888,0.929,1,1,1,2035.0
HD 4628_0,HD 4628,0.299,0.054,1.741,4.304,7.435,0.78,0.3,0.031,87.705,0.315,0.728,0,0,1,2035.0
HD 4628_1,HD 4628,4.258,0.031,1.273,1.784,7.435,0.78,0.3,0.344,29.501,4.253,0.027,0,0,1,2035.0
HD 4628_4,HD 4628,4.069,0.034,0.981,0.876,7.435,0.78,0.3,0.565,261.477,4.207,0.287,0,0,1,2035.0
HD 4628_5,HD 4628,3.681,0.025,0.897,0.617,7.435,0.78,0.3,0.481,113.594,3.599,0.376,0,0,1,2035.0
HD 4628_6,HD 4628,1.476,0.055,1.942,4.324,7.435,0.78,0.3,0.147,93.366,1.401,0.07,0,0,1,2035.0
HD 10360_0,HD 10360,0.111,0.132,2.009,6.936,8.189,0.78,0.345,0.013,125.067,0.123,0.572,0,0,1,2035.0
HD 10360_1,HD 10360,0.559,0.036,0.525,0.063,8.189,0.78,0.345,0.065,91.986,0.545,0.427,1,1,1,2035.0
HD 10360_2,HD 10360,3.873,0.13,2.182,7.34,8.189,0.78,0.345,0.401,38.562,3.378,0.209,0,0,1,2035.0
HD 10360_4,HD 10360,0.185,0.028,3.239,14.497,8.189,0.78,0.345,0.018,120.225,0.183,0.665,0,0,1,2035.0
HD 10360_5,HD 10360,2.33,0.067,0.679,0.17,8.189,0.78,0.345,0.3,299.731,2.484,0.397,0,0,1,2035.0
HD 131977_0,HD 131977,2.114,0.033,1.305,3.47,5.886,0.72,0.223,0.29,10.057,2.09,0.663,1,1,1,2035.0
