PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 3651 A_3,HD 3651 A,0.106,0.12,3.284,11.26,11.108,0.86,0.532,0.007,279.669,0.109,0.776,0,0,1,2035.034
HD 3651 A_5,HD 3651 A,0.552,0.025,0.534,0.105,11.108,0.86,0.532,0.049,192.69,0.564,0.477,0,0,1,2035.034
HD 192310_0,HD 192310,1.267,0.07,0.641,0.153,8.812,0.77,0.404,0.106,6.748,1.241,0.061,0,0,1,2035.036
HD 192310_1,HD 192310,1.472,0.082,2.73,11.177,8.812,0.77,0.404,0.163,51.065,1.592,0.131,1,1,1,2035.036
HD 192310_2,HD 192310,0.631,0.109,2.544,15.688,8.812,0.77,0.404,0.078,247.905,0.691,0.384,1,1,1,2035.036
HD 192310_3,HD 192310,0.091,0.084,2.458,5.736,8.812,0.77,0.404,0.006,11.36,0.085,0.039,0,0,1,2035.036
HD 131156 A_0,HD 131156 A,0.922,0.01,2.426,4.769,6.754,0.96,0.553,0.137,120.7,0.924,0.326,1,1,1,2035.037
HD 131156 A_1,HD 131156 A,1.097,0.147,1.932,5.127,6.754,0.96,0.553,0.11,326.695,1.107,0.782,1,1,1,2035.037
HD 136352_0,HD 136352,1.127,0.083,0.501,0.209,14.739,1.02,1.029,0.072,24.875,1.214,0.593,0,0,1,2035.038
HD 136352_2,HD 136352,0.995,0.082,1.549,3.648,14.739,1.02,1.029,0.059,10.384,0.935,0.531,0,0,1,2035.038
HD 136352_3,HD 136352,3.774,0.069,2.041,9.243,14.739,1.02,1.029,0.256,84.096,3.841,0.413,0,0,1,2035.038
HD 136352_4,HD 136352,1.831,0.068,0.826,0.215,14.739,1.02,1.029,0.121,329.063,1.945,0.142,0,0,1,2035.038
HD 30495_0,HD 30495,1.934,0.08,0.989,0.82,13.24,1.04,0.966,0.083,22.976,2.089,0.868,1,1,1,2035.04
HD 30495_2,HD 30495,0.416,0.06,1.179,2.252,13.24,1.04,0.966,0.006,145.446,0.392,0.977,0,0,1,2035.04
HD 30495_3,HD 30495,1.848,0.089,0.623,0.444,13.24,1.04,0.966,0.073,313.342,1.749,0.854,0,0,1,2035.04
HD 190360_0,HD 190360,0.922,0.17,1.79,3.175,16.003,0.96,1.165,0.061,65.578,1.063,0.549,1,1,1,2035.041
HD 190360_1,HD 190360,3.764,0.081,1.071,1.164,16.003,0.96,1.165,0.224,318.213,3.605,0.273,0,0,1,2035.041
HD 190360_3,HD 190360,3.632,0.139,2.733,5.998,16.003,0.96,1.165,0.152,83.7,3.94,0.03,0,0,1,2035.041
HD 190360_4,HD 190360,1.735,0.021,0.534,0.447,16.003,0.96,1.165,0.11,329.868,1.768,0.292,0,0,1,2035.041
HD 190360_5,HD 190360,0.581,0.08,1.934,3.212,16.003,0.96,1.165,0.034,75.863,0.592,0.147,0,0,1,2035.041
HD 201091_1,HD 201091,1.051,0.108,0.699,0.461,3.497,0.68,0.142,0.331,69.033,1.159,0.294,0,0,1,2035.042
HD 201091_2,HD 201091,2.964,0.153,0.94,1.051,3.497,0.68,0.142,0.278,103.792,2.61,0.006,0,0,1,2035.042
HD 201091_4,HD 201091,2.241,0.067,3.013,11.536,3.497,0.68,0.142,0.285,83.916,2.376,0.008,0,0,1,2035.042
HD 147513_0,HD 147513,1.541,0.04,0.645,0.196,12.892,1.07,1.001,0.123,207.216,1.598,0.361,0,0,1,2035.044
HD 147513_1,HD 147513,1.513,0.099,0.537,0.067,12.892,1.07,1.001,0.12,347.936,1.638,0.498,0,0,1,2035.044
HD 147513_2,HD 147513,4.633,0.075,1.379,2.987,12.892,1.07,1.001,0.334,222.32,4.335,0.384,0,0,1,2035.044
HD 147513_4,HD 147513,0.196,0.111,0.74,0.142,12.892,1.07,1.001,0.01,57.897,0.202,0.805,0,0,1,2035.044
HD 147513_5,HD 147513,4.52,0.075,0.624,0.074,12.892,1.07,1.001,0.342,68.511,4.672,0.504,0,0,1,2035.044
HD 147513_6,HD 147513,1.743,0.075,1.796,4.592,12.892,1.07,1.001,0.095,185.117,1.615,0.712,1,1,1,2035.044
HD 147513_7,HD 147513,2.47,0.028,0.667,0.678,12.892,1.07,1.001,0.183,326.524,2.407,0.417,0,0,1,2035.044
HD 95735_0,HD 95735,0.673,0.041,0.901,0.817,2.546,0.44,0.02,0.23,74.451,0.67,0.6,1,2,2,2035.045
HD 95735_2,HD 95735,0.392,0.078,0.638,0.071,2.546,0.44,0.02,0.146,86.183,0.411,0.136,1,1,2,2035.045
HD 95735_3,HD 95735,0.164,0.146,0.847,0.43,2.546,0.44,0.02,0.068,143.61,0.183,0.18,1,1,2,2035.045
HD 95735_4,HD 95735,2.481,0.023,1.454,2.418,2.546,0.44,0.02,0.649,314.486,2.511,0.79,1,2,2,2035.045
HD 95735_6,HD 95735,0.163,0.047,1.008,0.827,2.546,0.44,0.02,0.016,7.622,0.156,0.966,0,1,2,2035.045
