StarName,NObs,LastObs
HD 20807,2,2035.6265709101474
HD 156274 A,4,2035.627940773161
HD 10700,4,2035.6293106361748
HD 202560,3,2035.6311662390694
HD 30652,2,2035.6325361020831
HD 43042,2,2035.6339059650968
HD 114710,2,2035.6355828030362
HD 1581,2,2035.6461512820183
HD 190248,2,2035.647521145032
HD 140538 A,3,2035.6489633808167
HD 38392,5,2035.6551770171934
HD 134083,2,2035.656546880207
HD 10476,4,2035.659857308829
HD 95128,2,2035.6612271718427
HD 84737,2,2035.662776170101
HD 30495,2,2035.667662235748
HD 4391,3,2035.6766227449575
HD 128620,2,2035.6780544821584
HD 50692,2,2035.6808480497914
HD 101501,3,2035.6828890064776
HD 166,2,2035.69008048886
HD 190360,2,2035.700035648718
HD 185144,3,2035.703274945903
HD 147513,2,2035.7046448089168
HD 131156 A,3,2035.7165281490393
HD 146233,3,2035.728090716484
HD 55575,2,2035.7294605794978
HD 20794,4,2035.7442765216201
HD 23249,2,2035.7516090495478
HD 203608,2,2035.7605092611652
HD 165341 A,3,2035.7662995607334
HD 165341 B,5,2035.7687933829066
HD 115617,2,2035.7742213252227
HD 19373,2,2035.7805934633898
HD 38392,6,2035.7870964442666
HD 26965 A,3,2035.7889472916954
HD 10361,3,2035.8017108397107
HD 156274 A,5,2035.807240658245
HD 143761,2,2035.8086105212587
HD 33262 A,3,2035.8167370506433
HD 10700,5,2035.8202794010094
HD 10476,5,2035.8449297711281
HD 39091,2,2035.8463312053964
HD 90839,3,2035.8543350055688
HD 10780,3,2035.8606251052952
HD 16895 A,2,2035.8629764551374
HD 34411,2,2035.8649403604584
HD 82885 A,4,2035.8753980351946
HD 37394,3,2035.8864134314745
HD 219134,2,2035.9059791993404
HD 72905,3,2035.9073490623541
HD 53705,2,2035.909604261506
HD 4813,3,2035.9127455534099
HD 209100,3,2035.9146670545201
HD 35296,3,2035.9163119094756
HD 86728 A,2,2035.9186734771847
HD 38392,7,2035.9200433401984
HD 140538 A,4,2035.926894604235
HD 17051,3,2035.9286176585783
HD 17925,3,2035.9477065669798
HD 128167,2,2035.9526726975062
HD 210302,2,2035.9644994039068
HD 4391,4,2035.9704135694917
HD 7570,2,2035.9717834325054
HD 20794,5,2035.973153295519
HD 156274 A,6,2035.986540543329
HD 22484,2,2035.9879104063427
HD 142860,2,2035.9985952159095
HD 84117,3,2035.9999650789232
HD 46588 A,2,2036.0039970297769
HD 142373,2,2036.0053668927906
HD 192310,3,2036.0067367558042
HD 147513,3,2036.008106618818
HD 693,2,2036.0104324327651
HD 10700,6,2036.0118022957788
