PlanetID,sma,ecc,StarName,Mp_MEarth,M_sol,FinalPosteriorEpoch,NDetectedEpochs
HD 142860_5,0.9195474959207104,0.09124995185920556,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9217873118082547,0.14855402514633492,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9199207735615692,0.10185992813167882,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9214628388310124,0.11309622860460518,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9223459749725399,0.15926798916094173,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9199974248800353,0.09745832242914088,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9215133613315446,0.15020068714491747,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9205746858974082,0.19062408127837652,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9210940691540003,0.11933635558037078,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9211000876220009,0.09294993503677743,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9173864415927454,0.09540047494989942,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9199032879501311,0.09117778063219402,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9193580240864836,0.07728576770101277,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9201871781097773,0.10551874762667132,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9195295158527558,0.14833676062478462,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9206409987313552,0.1583877345299058,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9190965105443505,0.11828675469394907,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9205904889182567,0.11736937937888546,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9213676299669089,0.12144027774716758,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9216668818561334,0.19074227380069214,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9208404829249641,0.1702310504975915,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9213928682644649,0.10533737616220197,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9193979448431749,0.0871840445381264,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9233554051277754,0.16282515842458614,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9211061964752307,0.1772962392336136,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9205795165790562,0.1461006391519767,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9206735133190055,0.07485319534998801,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9192503097615783,0.09943364633909282,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9192729934638174,0.16254289062679478,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9201890751267174,0.10480039259865132,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9214391148090569,0.18742199042925486,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9193928823348123,0.11866425491068927,HD 142860,8.017,1.25,8,7
HD 142860_5,0.920755737503527,0.11161059026896529,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9212877431534428,0.10178316219428044,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9196635811749465,0.1259818302353539,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9219651207976635,0.1993526402234718,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9194464524382338,0.16264037063289544,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9181352526594801,0.10329322099056365,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9214903375272914,0.1588168255029957,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9187207649823582,0.09353166662415752,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9213130450460653,0.15692646729697832,HD 142860,8.017,1.25,8,7
HD 142860_5,0.922030510999385,0.12104605198076224,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9186998486640647,0.123798719252634,HD 142860,8.017,1.25,8,7
HD 142860_5,0.921436344417143,0.12319549478328241,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9191133796043585,0.07982825760639829,HD 142860,8.017,1.25,8,7
HD 142860_5,0.920182966502927,0.10853661582870366,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9195411699886012,0.1690073615116688,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9180209268422351,0.08678635172413036,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9184771887234627,0.08147043852007496,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9190649044417099,0.10620392963403855,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9202492452959812,0.09057172981889022,HD 142860,8.017,1.25,8,7
HD 142860_5,0.92218321613472,0.14390630534268578,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9203728403584834,0.19383995887726702,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9196940393320532,0.15590701735845774,HD 142860,8.017,1.25,8,7
HD 142860_5,0.9213266775332519,0.17438223357692184,HD 142860,8.017,1.25,8,7
