PlanetID,StarName,M_sol,L_sol,SMA_AU,Mp_MEarth,Rp_REarth,ecc,NDet,HZ
HD 693_5,HD 693,1.18,2.997,2.909,2.794,1.423,0.1,1,False
HD 72905_3,HD 72905,1.08,0.973,0.899,19.234,2.776,0.099,2,True
HD 72905_4,HD 72905,1.08,0.973,0.923,2.24,1.407,0.214,10,False
HD 7570_2,HD 7570,1.14,2.004,1.977,3.716,1.73,0.063,18,True
HD 86728 A_4,HD 86728 A,1.0,1.378,3.143,16.709,2.985,0.15,30,False
HD 86728 A_6,HD 86728 A,1.0,1.378,2.84,3.621,2.462,0.137,33,False
HD 88230_0,HD 88230,0.63,0.103,1.858,3.961,1.413,0.024,26,False
HD 88230_1,HD 88230,0.63,0.103,0.369,14.391,2.613,0.102,12,True
HD 88230_2,HD 88230,0.63,0.103,0.941,0.079,0.511,0.058,5,False
HD 88230_3,HD 88230,0.63,0.103,1.397,3.057,1.541,0.055,29,False
HD 88230_4,HD 88230,0.63,0.103,0.683,0.221,0.831,0.12,21,False
HD 88230_5,HD 88230,0.63,0.103,2.552,2.912,1.594,0.09,21,False
HD 95128_4,HD 95128,1.07,1.577,2.15,6.511,1.218,0.173,3,False
HD 95735_0,HD 95735,0.44,0.02,0.673,1.876,0.901,0.041,26,False
HD 95735_2,HD 95735,0.44,0.02,0.392,0.252,0.638,0.078,23,False
HD 95735_3,HD 95735,0.44,0.02,0.164,1.655,0.847,0.146,16,True
HD 95735_4,HD 95735,0.44,0.02,2.481,2.402,1.454,0.023,21,False
HD 95735_6,HD 95735,0.44,0.02,0.163,2.764,1.008,0.047,9,True
