PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,PlanetContrast,tReq_s,tReq_hr,Cp_e_s,Cb_e_s,Csp_e_s,DetStatus_Ideal,DetStatus_ETC_3hr,DetStatus_ETC_12hr,DetStatus_ETC_24hr,DetStatus,NDet,NObs,LastObs
HD 212330 A_0,HD 212330 A,1.747,0.031,3.281,9.208,20.34,1.02,2.726,0.084334,145.355482,1.698355,0.253853,6.185759345214281e-10,390.6234075629596,0.1085065021008221,0.3032395430454736,0.4295035608286071,0.0008869899738930063,1,1,1,1,1,1,1,2035.049315
HD 141004_0,HD 141004,2.629,0.092,2.901,8.518,11.916,1.09,2.004,0.191307,153.237193,2.502485,0.560222,5.106647958270014e-10,109.1193973637944,0.03031094371216511,0.7222384013808474,0.43929054521875394,0.0009522365364939854,1,1,1,1,1,1,1,2035.052055
HD 141004_1,HD 141004,0.651,0.071,0.654,0.168,11.916,1.09,2.004,,,0.656727,0.260319,1.6434290253885118e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.052055
HD 141004_2,HD 141004,4.426,0.098,1.019,2.941,11.916,1.09,2.004,,,4.198056,0.495616,2.2084390418473445e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.052055
HD 141004_3,HD 141004,4.115,0.06,0.578,0.125,11.916,1.09,2.004,,,4.261654,0.068537,6.74527369952748e-13,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.052055
HD 141004_4,HD 141004,3.163,0.091,1.732,4.206,11.916,1.09,2.004,,,3.384998,0.524624,8.344959608365512e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.052055
HD 4614 A_0,HD 4614 A,4.718,0.051,1.358,3.151,5.01,1.14,1.252,,,4.955087,0.122406,7.68691235999488e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.054795
HD 4614 A_1,HD 4614 A,0.651,0.133,0.728,0.235,5.01,1.14,1.252,0.098038,198.545968,0.736141,0.812754,6.155739474630282e-10,39.71402827816379,0.011031674521712163,1.8279803764310112,0.8796827430571629,0.0038881845220833785,1,1,1,1,1,1,1,2035.054795
HD 4614 A_2,HD 4614 A,2.584,0.017,1.361,2.842,5.01,1.14,1.252,0.412783,320.5628,2.627124,0.68671,1.4339624038589539e-10,222.50480682337013,0.06180689078426948,0.5039447161669135,0.6480447245500015,0.00234393106536897,1,1,1,1,1,1,1,2035.054795
HD 58855_0,HD 58855,3.917,0.055,2.746,11.124,20.402,1.16,2.445,0.119453,237.90951,4.073151,0.833562,2.617912100391048e-10,1124.7268597783557,0.3124241277162099,0.1489780305306607,0.36026127523529916,0.000425374736604287,1,1,1,1,1,1,1,2035.057534
HD 58855_3,HD 58855,0.12,0.023,0.846,0.314,20.402,1.16,2.445,,,0.12084,0.119241,2.914924575330848e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.057534
HD 58855_4,HD 58855,1.787,0.062,0.53,0.101,20.402,1.16,2.445,,,1.808734,0.99404,5.232088138413457e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.057534
HD 58855_5,HD 58855,2.753,0.078,0.74,0.361,20.402,1.16,2.445,,,2.917501,0.876246,3.353460397875545e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.057534
HD 58855_6,HD 58855,3.408,0.008,0.67,0.197,20.402,1.16,2.445,,,3.413368,0.042853,9.19302549762333e-13,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.057534
HD 58855_7,HD 58855,0.511,0.017,1.169,2.72,20.402,1.16,2.445,,,0.503705,0.202743,8.0012016179342e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.057534
