PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,PlanetContrast,tReq_s,tReq_hr,Cp_e_s,Cb_e_s,Csp_e_s,DetStatus_Ideal,DetStatus_ETC,DetStatus,NDet,NObs,LastObs
HD 165341 B_3,HD 165341 B,0.1,0.077,0.528,0.115,5.122,0.78,0.164,0.007,99.027,0.102,0.937,1.4603065487593703e-08,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.023
HD 165341 B_4,HD 165341 B,0.76,0.117,1.137,8.764,5.122,0.78,0.164,0.108,114.436,0.845,0.037,1.6398071568912844e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.023
HD 20766_0,HD 20766,1.336,0.161,1.674,1.89,12.045,1.01,0.794,0.1,90.932,1.405,0.103,9.510750893847655e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.025
HD 20766_1,HD 20766,0.327,0.097,2.659,6.024,12.045,1.01,0.794,0.008,143.836,0.359,0.962,3.660206474204128e-08,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.025
HD 20766_4,HD 20766,1.915,0.031,0.912,0.437,12.045,1.01,0.794,0.066,305.759,1.885,0.915,1.2828707895368952e-10,-4302.359411076799,-1.1950998364102219,0.04005517732449221,0.7996971698634661,0.015097263153564298,1,1,1,1,1,2035.025
HD 4628_0,HD 4628,0.299,0.054,1.741,4.518,7.435,0.78,0.3,0.042,90.375,0.312,0.293,2.7460045041075217e-09,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.026
HD 4628_1,HD 4628,4.258,0.031,1.273,2.24,7.435,0.78,0.3,0.338,30.411,4.251,0.026,1.7645397652577032e-12,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.026
HD 4628_4,HD 4628,4.069,0.034,0.981,0.218,7.435,0.78,0.3,0.565,262.407,4.207,0.287,6.336147368263696e-12,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.026
HD 4628_5,HD 4628,3.681,0.025,0.897,0.438,7.435,0.78,0.3,0.482,113.901,3.598,0.365,1.0398628580016258e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.026
HD 4628_6,HD 4628,1.476,0.055,1.942,6.196,7.435,0.78,0.3,0.156,95.755,1.404,0.09,3.570383093750459e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.026
